scenarios,N0,t1,N1,t2,N2,mean
n128_cosine_1dcnn_log_1blocks,0.49661388030977727,1.1294293947300973,0.4785582579225544,0.7284745834994356,0.5301432396746213,0.6726438712272972
n128_cosine_1dcnn_log_2blocks,0.5059481075123601,1.1769649738386487,0.4843307561622524,0.7435200288691712,0.5467769352320738,0.6915081603229012
n128_cosine_1dcnn_log_3blocks,0.4877701714032707,1.1241509456965806,0.49047260204068494,0.7242289634562226,0.5031120010093848,0.6659469367212287
n128_cosine_2dcnn_log_1blocks,0.3877322574565449,0.8848122311042804,0.4359237039035447,0.58692407896436,0.33156125373071715,0.5253907050318893
n128_cosine_2dcnn_log_2blocks,0.374800157987893,0.8491504510478247,0.4382287598481351,0.5672717822157409,0.3318222844339878,0.5122546871067163
n128_cosine_2dcnn_log_3blocks,0.3814481169650528,0.8948576552402676,0.44375980327775466,0.5898724742510703,0.32881680051108386,0.5277509700490458
n256_cosine_1dcnn_log_1blocks,0.48281876222101083,1.1780837280952807,0.5031657057511636,0.7322073197898058,0.41504336860714425,0.6622637768928811
n256_cosine_1dcnn_log_2blocks,0.4954323789951602,1.1767170864231487,0.49754921448249584,0.7529086664775154,0.40167856405766833,0.6648571820871977
n256_cosine_1dcnn_log_3blocks,0.4625446195200813,1.1264289426697438,0.4755938754756606,0.710261184907968,0.3826366892611992,0.6314930623669307
n256_cosine_2dcnn_log_1blocks,0.3072761814993046,0.8381801472575862,0.4016918156993837,0.5234187637480583,0.2984427477892966,0.4738019311987259
n256_cosine_2dcnn_log_2blocks,0.2991890320839765,0.8348991083789604,0.4130782403192076,0.5045155725719849,0.2958524084055394,0.4695068723519338
n256_cosine_2dcnn_log_3blocks,0.32486819276181356,0.8569179863823881,0.4043712882429625,0.5381228417709555,0.3114215388447275,0.4871403696005695
